Biome,Scene ID (Level-1T),Path,Row,Acquisition Date,Approximate Cloud Status,Shadows?,Manual CCA
Grass/Crops,LC81820302014180LGN00,182,30,6/29/2014,Clear,yes,1.04%
Grass/Crops,LC82020522013141LGN01,202,52,5/21/2013,Clear,yes,17.15%
Shrubland,LC80010732013109LGN00,1,73,4/19/2013,Clear,yes,6.71%
Shrubland,LC80320382013278LGN00,32,38,10/5/2013,Clear,yes,2.65%
Shrubland,LC80350192014190LGN00,35,19,7/9/2014,MidClouds,no,63.88%
Shrubland,LC80630152013207LGN00,63,15,7/26/2013,MidClouds,no,46.90%
Shrubland,LC80670172014206LGN00,67,17,7/25/2014,Cloudy,no,92.81%
Shrubland,LC80750172013163LGN00,75,17,6/12/2013,Clear,yes,0.12%
Shrubland,LC80760182013170LGN00,76,18,6/19/2013,MidClouds,no,52.91%
Shrubland,LC80980762014216LGN00,98,76,8/4/2014,Clear,no,0.00%
Shrubland,LC81020802014100LGN00,102,80,4/10/2014,Cloudy,yes,76.28%
Shrubland,LC81490122013218LGN00,149,12,8/6/2013,Cloudy,no,89.75%
Shrubland,LC81590362014051LGN00,159,36,2/20/2014,MidClouds,no,51.82%
Shrubland,LC81600462013215LGN00,160,46,8/3/2013,Cloudy,no,97.69%
Snow/Ice,LC80010112014080LGN00,1,11,3/21/2014,Cloudy,yes,5.19%
Snow/Ice,LC80060102014147LGN00,6,10,5/27/2014,MidClouds,yes,29.54%
Snow/Ice,LC80211222013361LGN00,21,122,12/27/2013,MidClouds,no,55.83%
Snow/Ice,LC80250022014232LGN00,25,2,8/20/2014,Cloudy,yes,79.49%
Snow/Ice,LC80441162013330LGN00,44,116,11/26/2013,Clear,no,16.11%
Snow/Ice,LC80841202014309LGN00,84,120,11/5/2014,Clear,no,1.04%
Snow/Ice,LC81001082014022LGN00,100,108,1/22/2014,Clear,yes,3.20%
Snow/Ice,LC81321192014054LGN00,132,119,2/23/2014,MidClouds,yes,20.01%
Snow/Ice,LC82001192013335LGN00,200,119,12/1/2013,Cloudy,no,78.81%
Snow/Ice,LC82171112014297LGN00,217,111,10/24/2014,MidClouds,no,54.47%
Snow/Ice,LC82271192014287LGN00,227,119,10/14/2014,Clear,no,18.31%
Snow/Ice,LC82320072014226LGN00,232,7,8/14/2014,Cloudy,no,84.96%
Urban,LC80150312014226LGN00,15,31,8/14/2014,MidClouds,no,55.70%
Urban,LC80170312013157LGN00,17,31,6/6/2013,Cloudy,no,100.00%
Urban,LC80410372013357LGN00,41,37,12/23/2013,Clear,no,1.03%
Urban,LC80460282014171LGN00,46,28,6/20/2014,MidClouds,no,39.48%
Urban,LC80640452014041LGN00,64,45,2/10/2014,Clear,yes,3.06%
Urban,LC81180382014244LGN00,118,38,9/1/2014,Cloudy,no,78.55%
Urban,LC81620432014072LGN00,162,43,3/13/2014,MidClouds,yes,20.29%
Urban,LC81660432014020LGN00,166,43,1/20/2014,Clear,no,0.00%
Urban,LC81770262013254LGN00,177,26,9/11/2013,Clear,yes,3.70%
Urban,LC81920192013103LGN01,192,19,4/13/2013,Cloudy,no,100.00%
Urban,LC81940222013245LGN00,194,22,9/2/2013,Cloudy,no,100.00%
Urban,LC81970242013218LGN00,197,24,8/6/2013,MidClouds,no,55.58%
Water,LC80120552013202LGN00,12,55,7/21/2013,Cloudy,no,99.74%
Water,LC80180082014215LGN00,18,8,8/3/2014,Clear,no,0.00%
Water,LC80210072014236LGN00,21,7,8/24/2014,Clear,no,17.76%
Water,LC80430122014214LGN00,43,12,8/2/2014,MidClouds,no,54.65%
Water,LC80650182013237LGN00,65,18,8/25/2013,MidClouds,no,51.32%
Water,LC81040622014066LGN00,104,62,3/7/2014,Cloudy,no,95.95%
Water,LC81130632014241LGN00,113,63,8/29/2014,Clear,yes,8.23%
Water,LC81240462014238LGN00,124,46,8/26/2014,Cloudy,no,90.38%
Water,LC81620582014104LGN00,162,58,4/14/2014,MidClouds,yes,6.57%
Water,LC81660032014196LGN00,166,3,7/15/2014,Cloudy,no,95.24%
Water,LC81910182013240LGN00,191,18,8/28/2013,Clear,yes,0.42%
Water,LC82150712013152LGN00,215,71,6/1/2013,MidClouds,yes,45.23%
Wetlands,LC80310202013223LGN00,31,20,8/11/2013,MidClouds,no,48.41%
Wetlands,LC80340192014167LGN00,34,19,6/16/2014,Clear,no,1.41%
Wetlands,LC81010142014189LGN00,101,14,7/8/2014,MidClouds,yes,64.93%
Wetlands,LC81020152014036LGN00,102,15,2/5/2014,Cloudy,no,100.00%
Wetlands,LC81030162014107LGN00,103,16,4/17/2014,Clear,no,0.00%
Wetlands,LC81070152013260LGN00,107,15,9/17/2013,Cloudy,no,100.00%
Wetlands,LC81080162013171LGN00,108,16,6/20/2013,Cloudy,no,97.66%
Wetlands,LC81080182014238LGN00,108,18,8/26/2014,MidClouds,no,53.07%
Wetlands,LC81460162014168LGN00,146,16,6/17/2014,Clear,no,0.00%
Wetlands,LC81500152013225LGN00,150,15,8/13/2013,Cloudy,no,99.18%
Wetlands,LC81580172013201LGN00,158,17,7/20/2013,Clear,no,2.14%
Wetlands,LC81750732014035LGN00,175,73,2/4/2014,MidClouds,no,59.97%
